===== PRRP Execution Time Profiling =====

         582571235 function calls in 548.493 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1170    0.002    0.000    0.004    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:164(<lambda>)
    13340    0.002    0.000    0.003    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:125(<lambda>)
     3510    0.002    0.000    0.003    0.000 <frozen posixpath>:52(normcase)
     1150    0.001    0.000    0.003    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:652(usesTime)
     1170    0.001    0.000    0.003    0.000 <frozen posixpath>:41(_get_sep)
     2301    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.RLock' objects}
     1170    0.002    0.000    0.002    0.000 <frozen genericpath>:121(_splitext)
     3510    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
     1170    0.002    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1734(isEnabledFor)
     1150    0.001    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:432(usesTime)
       10    0.001    0.000    0.002    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:249(<dictcomp>)
     1170    0.001    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:123(getLevelName)
        8    0.000    0.000    0.002    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:136(<listcomp>)
     2320    0.002    0.000    0.002    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:815(filter)
     1170    0.002    0.000    0.002    0.000 {built-in method time.time}
     1237    0.000    0.000    0.002    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:134(is_isolated_component)
     2320    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1170    0.001    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/threading.py:1453(current_thread)
     1170    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
     2300    0.001    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:929(release)
    15951    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     1170    0.001    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/threading.py:1152(name)
     1237    0.000    0.000    0.001    0.000 {built-in method builtins.all}
     1000    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:249(<setcomp>)
     5850    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     1150    0.001    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:368(getMessage)
     2474    0.001    0.000    0.001    0.000 /Volumes/coding/projects/PRRP-Implementation/src/graph_prrp.py:135(<genexpr>)
     1170    0.001    0.000    0.001    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/multiprocessing/process.py:37(current_process)
     1150    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
